series,episode,baker,result,technical,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
7,3,Tom,STAR BAKER,4,Gilliford,26,Project engagement manager,Rochdale,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir
7,3,Val,IN,1,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain"""
7,4,Andrew,IN,4,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Yorkshire 'Tapas' Puddings,Churros Window Box
7,4,Benjamina,STAR BAKER,1,Ebuehi,23,Teaching assistant,South London,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros
7,4,Candice,IN,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Yorkshire Wellingtons,Two-Way Peanut Butter Churros
7,4,Jane,IN,3,Beedle,61,Garden designer,Beckenham,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros
7,4,Kate,OUT,7,Barmby,37,Nurse,"Brooke, Norfolk",Christmas Dinner Compromise,Hot Cross Bunny Churros
7,4,Rav,IN,9,Bansal,28,Student support,Erith,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros
7,4,Selasi,IN,8,Gbormittah,30,Client service associate,London,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros
7,4,Tom,IN,5,Gilliford,26,Project engagement manager,Rochdale,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass
7,4,Val,IN,6,Stones,66,"Semi-retired, Substitute teacher",Yeovil,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros
7,5,Andrew,IN,6,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites
7,5,Benjamina,IN,5,Ebuehi,23,Teaching assistant,South London,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups
7,5,Candice,STAR BAKER,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups"
7,5,Jane,IN,1,Beedle,61,Garden designer,Beckenham,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones"
7,5,Rav,IN,8,Bansal,28,Student support,Erith,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas
7,5,Selasi,IN,3,Gbormittah,30,Client service associate,London,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups"
7,5,Tom,IN,4,Gilliford,26,Project engagement manager,Rochdale,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche
7,5,Val,OUT,7,Stones,66,"Semi-retired, Substitute teacher",Yeovil,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels"
7,6,Andrew,IN,6,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio
7,6,Benjamina,IN,2,Ebuehi,23,Teaching assistant,South London,Grapefruit and Ginger Meringue Pie,Floral Tea Cake
7,6,Candice,IN,5,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake
7,6,Jane,IN,4,Beedle,61,Garden designer,Beckenham,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar
7,6,Rav,OUT,3,Bansal,28,Student support,Erith,Mandarin Margarita Meringue Pie,Blossom Cake
7,6,Selasi,IN,7,Gbormittah,30,Client service associate,London,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake
7,6,Tom,STAR BAKER,1,Gilliford,26,Project engagement manager,Rochdale,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake
7,7,Andrew,STAR BAKER,1,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes
7,7,Benjamina,IN,3,Ebuehi,23,Teaching assistant,South London,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake
7,7,Candice,IN,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse
7,7,Jane,IN,4,Beedle,61,Garden designer,Beckenham,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses"
7,7,Selasi,IN,6,Gbormittah,30,Client service associate,London,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes"
7,7,Tom,OUT,5,Gilliford,26,Project engagement manager,Rochdale,Millionaire's Roulade,Hipster Picnic
7,8,Andrew,IN,2,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Da Vinci Inspired Geared Pies,Jousting Knights Marchpane
7,8,Benjamina,OUT,4,Ebuehi,23,Teaching assistant,South London,Mexican Adventure,Tudor Garden
7,8,Candice,STAR BAKER,1,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Cheesy Cheeky Fish Pies,Peacock
7,8,Jane,IN,5,Beedle,61,Garden designer,Beckenham,Tudor Rose Pies,Swans
7,8,Selasi,IN,3,Gbormittah,30,Client service associate,London,Bouquet of Flowers,Fruity Tudor Marchpane
7,9,Andrew,STAR BAKER,2,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants
7,9,Candice,IN,3,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies
7,9,Jane,IN,1,Beedle,61,Garden designer,Beckenham,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies
7,9,Selasi,OUT,4,Gbormittah,30,Client service associate,London,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies
7,10,Andrew,Runner-up,1,Smyth,25,Aerospace engineer,"Derby / Holywood, County Down",Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic
7,10,Candice,WINNER,2,Brown,31,PE teacher,"Barton-Le-Clay, Bedfordshire",Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens
7,10,Jane,Runner-up,3,Beedle,61,Garden designer,Beckenham,"Red, White and Blue Meringue Crown",Family Favourites Feast
8,1,Chris,IN,12,Geiger,50,Software developer,Bristol,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake
8,1,Flo,IN,9,Atkins,71,Retired,Merseyside,Citrus Layer Cake,'One in a Melon' Cake
8,1,James,IN,2,Hillery,46,Banker,"Brentwood, Essex","Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake
8,1,Julia,IN,3,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Courgette and Lemon Cake,'Russian Doll' Cake
8,1,Kate,IN,1,Lyon,29,Health and safety inspector,Merseyside,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake
8,1,Liam,IN,8,Charles,19,Student,North London,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake
8,1,Peter,OUT,10,Abatan,52,IT programme manager,"Southend, Essex",Coconut Cake,'Bread on a Breadboard' Cake
8,1,Sophie,IN,5,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake
8,1,Stacey,IN,11,Hart,42,Former school teacher,"Radlett, Hertfordshire",Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake
8,1,Steven,STAR BAKER,6,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Bonfire Night Cake,'A Baker's Lunch' Cake
8,1,Tom,IN,7,Hetherington,29,Architect,Edinburgh,Gilded Pear and Cardamom Cake,'Stack of Books' Cake
8,1,Yan,IN,4,Tsou,46,Laboratory research scientist,North London,Windfall Apple Crumble Cake,'Banana-ramen' Cake
8,2,Chris,OUT,11,Geiger,50,Software developer,Bristol,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game
8,2,Flo,IN,10,Atkins,71,Retired,Merseyside,Gin Jam Butties,'Pick My Bones' Game
8,2,James,IN,3,Hillery,46,Banker,"Brentwood, Essex",Rhubarb and Custard Whirls,'Coppit' Game
8,2,Julia,IN,4,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game
8,2,Kate,IN,8,Lyon,29,Health and safety inspector,Merseyside,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game
8,2,Liam,IN,7,Charles,19,Student,North London,Coffee Malted Pecan Shorties,'Classroom Classics' Game
8,2,Sophie,IN,2,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game
8,2,Stacey,IN,9,Hart,42,Former school teacher,"Radlett, Hertfordshire",Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game
8,2,Steven,STAR BAKER,6,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Amarpressi Biscuits,'Check Bake' Game
8,2,Tom,IN,5,Hetherington,29,Architect,Edinburgh,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game
8,2,Yan,IN,1,Tsou,46,Laboratory research scientist,North London,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game
8,3,Flo,OUT,7,Atkins,71,Retired,Merseyside,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture
8,3,James,IN,9,Hillery,46,Banker,"Brentwood, Essex",Nordic Teacakes,'Owl in the Woods' Bread Sculpture
8,3,Julia,STAR BAKER,2,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture
8,3,Kate,IN,10,Lyon,29,Health and safety inspector,Merseyside,Blueberry Buns,'Kraken' Bread Sculpture
8,3,Liam,IN,5,Charles,19,Student,North London,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture
8,3,Sophie,IN,6,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Tagine Teacakes,'Picnic Basket' Bread Sculpture
8,3,Stacey,IN,1,Hart,42,Former school teacher,"Radlett, Hertfordshire",Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture
8,3,Steven,IN,3,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture
8,3,Tom,IN,4,Hetherington,29,Architect,Edinburgh,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture
8,3,Yan,IN,8,Tsou,46,Laboratory research scientist,North London,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture
8,4,James,IN,2,Hillery,46,Banker,"Brentwood, Essex",'Windy City' Millionaire Shortbreads,Nutty Caramel Cake
8,4,Julia,IN,9,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake
8,4,Kate,STAR BAKER,6,Lyon,29,Health and safety inspector,Merseyside,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake
8,4,Liam,IN,3,Charles,19,Student,North London,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake
8,4,Sophie,IN,4,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake
8,4,Stacey,IN,1,Hart,42,Former school teacher,"Radlett, Hertfordshire",Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake
8,4,Steven,IN,7,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake
8,4,Tom,OUT,5,Hetherington,29,Architect,Edinburgh,Stem Ginger Caramel Shortbreads,Hummingbird Cake
8,4,Yan,IN,8,Tsou,46,Laboratory research scientist,North London,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake
8,5,James,OUT,7,Hillery,46,Banker,"Brentwood, Essex",Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine
8,5,Julia,IN,3,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine
8,5,Kate,IN,8,Lyon,29,Health and safety inspector,Merseyside,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine
8,5,Liam,IN,2,Charles,19,Student,North London,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine
8,5,Sophie,STAR BAKER,1,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine"
8,5,Stacey,IN,4,Hart,42,Former school teacher,"Radlett, Hertfordshire",Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine
8,5,Steven,IN,5,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine
8,5,Yan,IN,6,Tsou,46,Laboratory research scientist,North London,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine
8,6,Julia,OUT,7,Chernogorova,21,Aviation Broker,"Crawley, West Sussex",'Pies from the Tree' Decorative Pies,'Special Occasion' Pie
8,6,Kate,IN,5,Lyon,29,Health and safety inspector,Merseyside,'Vegetarian Pie Faces' Decorative Pies,Potato Curry Pie with Mango & Chilli Glaze
8,6,Liam,STAR BAKER,4,Charles,19,Student,North London,'Standard FC' Decorative Pies,'Nan's Sunday Dinner' Pie
8,6,Sophie,IN,2,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'The Four Seasons' Decorative Pies,Game Pie with Glazed Forest Fruits
8,6,Stacey,IN,6,Hart,42,Former school teacher,"Radlett, Hertfordshire",'Love Theme' Decorative Pies,Indian Hand Raised Pie with Mango
8,6,Steven,IN,3,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",'Fleetwood Mac' Decorative Pies,Christmas Pie
8,6,Yan,IN,1,Tsou,46,Laboratory research scientist,North London,'πr2' Decorative Pies,Chequerboard Pie
8,7,Kate,IN,6,Lyon,29,Health and safety inspector,Merseyside,'Happy Hour' Cocktail Cannoli,'Flavour Fusion' Sfogliatelle
8,7,Liam,IN,2,Charles,19,Student,North London,'Just Doing Me' Cannoli,'Morning Delivery' Sfogliatelle
8,7,Sophie,IN,3,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",'Classics with a Twist' Cannoli,'Classics' Sfogliatelle
8,7,Stacey,IN,4,Hart,42,Former school teacher,"Radlett, Hertfordshire",My All Time Favourite Desserts,Pastry Surprise
8,7,Steven,STAR BAKER,1,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",Italian Style Cannoli,'Sicilian-style' Sfogliatelle
8,7,Yan,OUT,5,Tsou,46,Laboratory research scientist,North London,Cannoli Cocktails,Canadian-Style Sfogliatelle
8,8,Kate,IN,2,Lyon,29,Health and safety inspector,Merseyside,Burrito Bedfordshire Clangers,'Liver Building Turret' Savoy Cake
8,8,Liam,OUT,5,Charles,19,Student,North London,'Take Out' Bedfordshire Clangers,'Fort Wizardore' Savoy Cake
8,8,Sophie,IN,4,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey",Char Siu & Banana Praline Bedfordshire Clangers,Citrus with Green Apple Croquembouche Savoy Cake
8,8,Stacey,STAR BAKER,3,Hart,42,Former school teacher,"Radlett, Hertfordshire",Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,'Bright' Lemon & Orange Savoy Cake
8,8,Steven,IN,1,Carter-Bailey,34,Marketer,"Watford, Hertfordshire",'Mediterranean Medley' Bedfordshire Clangers,Chestnut Rum Savoy Cake
8,9,Kate,IN,4,Lyon,29,Health and safety inspector,Merseyside,Bellini and Valencian Orange Choux Buns,'Rainbow' Meringue Centrepiece
